replicate_id,flat_accuracy,hierarchical_accuracy,difference_accuracy,flat_balanced_accuracy,hierarchical_balanced_accuracy,difference_balanced_accuracy,flat_macro_f1,hierarchical_macro_f1,difference_macro_f1,flat_f1_non_malignant,flat_f1_melanoma,flat_f1_bcc,flat_f1_scc,hierarchical_f1_non_malignant,hierarchical_f1_melanoma,hierarchical_f1_bcc,hierarchical_f1_scc,difference_f1_non_malignant,difference_f1_melanoma,difference_f1_bcc,difference_f1_scc
5948,0.74427480916030531,0.7369138495092693,0.0073609596510360031,0.65303965618318571,0.62862341633973351,0.024416239843452203,0.62043745560003849,0.60233017783430443,0.018107277765734064,0.82331428571428567,0.60968320382546326,0.69846984698469849,0.35028248587570615,0.82564330079858028,0.57409713574097143,0.68577075098814233,0.32380952380952377,-0.0023290150842946167,0.035586068084491829,0.012699095996556165,0.026472962066182382
5949,0.74154852780806979,0.73827699018538717,0.0032715376226826187,0.652699020610224,0.63434478517431381,0.018354235435910193,0.61745019934507628,0.60754703120824816,0.0099031681368281221,0.82479908151549941,0.60273972602739723,0.68867082961641402,0.35359116022099446,0.82298136645962727,0.57862407862407861,0.70600203458799604,0.32258064516129031,0.0018177150558721378,0.024115647403318619,-0.017331204971582026,0.031010515059704147
5950,0.73064340239912762,0.72928026172300986,0.0013631406761177578,0.6382870960078042,0.62330766563463058,0.014979430373173619,0.60774052615173646,0.59601222371957574,0.01172830243216072,0.81615790681661693,0.59678379988088148,0.65544729849424266,0.36257309941520466,0.81954225352112675,0.55893536121673004,0.67813765182186247,0.32743362831858408,-0.0033843467045098219,0.03784843866415144,-0.022690353327619817,0.035139471096620578
5951,0.74563794983642306,0.74209378407851689,0.0035441657579061703,0.65011648490603502,0.62466464025448021,0.025451844651554811,0.62066259370973043,0.60564787210209048,0.015014721607639947,0.82771194165907036,0.60927152317880806,0.6852017937219731,0.3604651162790698,0.82691884759181888,0.57268170426065168,0.71299093655589119,0.31,0.00079309406725147635,0.03658981891815638,-0.02778914283391809,0.050465116279069799
5952,0.74536532170119951,0.74836423118865869,-0.0029989094874591782,0.67111006246153992,0.65218838369163645,0.018921678769903472,0.63366164209356546,0.62159765252257215,0.012063989570993305,0.8174843059753546,0.62274052478134112,0.71118820468343469,0.3832335329341317,0.8291814946619217,0.59579728059332515,0.72039800995024883,0.34101382488479265,-0.011697188686567106,0.026943244188015969,-0.0092098052668141417,0.042219708049339055
5953,0.74727371864776448,0.73473282442748089,0.012540894220283594,0.66888701192529076,0.63179232585687872,0.037094686068412042,0.6350570439104426,0.60543133912549574,0.02962570478494686,0.823016964695094,0.60484848484848497,0.71701388888888884,0.39534883720930236,0.82422907488986785,0.55949367088607593,0.68937875751503008,0.34862385321100914,-0.0012121101947738522,0.045354813962409035,0.027635131373858757,0.046724983998293224
5954,0.73037077426390407,0.73227917121046893,-0.0019083969465648609,0.62271166576023318,0.62043309254621803,0.0022785732140151449,0.59732448096054125,0.59639346556718087,0.00093101539336037931,0.82032667876588017,0.5787234042553191,0.65888689407540391,0.33136094674556216,0.82719046568086518,0.55975232198142411,0.66529774127310071,0.33333333333333331,-0.006863786914985015,0.01897108227389499,-0.0064108471976968007,-0.0019723865877711577
5955,0.74427480916030531,0.73964013086150493,0.0046346782988003765,0.6714537837664285,0.64857766771429815,0.022876116052130357,0.63558491124925132,0.61942268920283816,0.016162222046413155,0.82288077188146103,0.62123039806996372,0.67364746945898779,0.42458100558659218,0.82470562097311695,0.5737398879900435,0.70009832841691255,0.37914691943127959,-0.0018248490916559224,0.047490510079920223,-0.026450858957924761,0.045434086155312581
5956,0.74100327153762269,0.74645583424209383,-0.0054525627044711422,0.63680257577823352,0.63655398066226687,0.0002485951159666433,0.60627299660441569,0.60818417451969919,-0.0019111779152835018,0.82208588957055206,0.60694698354661791,0.68571428571428583,0.31034482758620691,0.83219705300197933,0.58552210121716852,0.70800000000000007,0.30701754385964908,-0.010111163431427261,0.021424882329449391,-0.022285714285714242,0.0033272837265578281
5957,0.74073064340239914,0.74400218102508175,-0.0032715376226826187,0.63877240409847735,0.62131703633413504,0.017455367764342311,0.60968133409386027,0.59945102072105505,0.010230313372805222,0.82164144887666213,0.60613207547169812,0.6899641577060931,0.32098765432098758,0.83413777972795078,0.58296529968454258,0.68302658486707568,0.29767441860465116,-0.012496330851288651,0.023166775787155536,0.0069375728390174141,0.023313235716336422
